time_from_start,robot1_move_x,robot1_move_y,robot1_move_z,robot1_turn_z,robot2_move_x,robot2_move_y,robot2_move_z,robot2_turn_z
0.001,29.993,0,0,3.1416,-29.993,3,0,0
0.12531,29.139,0,0,3.1416,-29.171,3,0,0
0.24962,28.249,0,0,3.1416,-28.368,3,0,0
0.37393,27.327,0,0,3.1416,-27.585,3,0,0
0.49824,26.374,0,0,3.1416,-26.821,3,0,0
0.62255,25.397,0,0,3.1416,-26.075,3,0,0
0.74686,24.397,0,0,3.1416,-25.347,3,0,0
0.87117,23.379,0,0,3.1416,-24.636,3,0,0
0.99548,22.346,0,0,3.1416,-23.942,3,0,0
1.1198,21.302,0,0,3.1416,-23.265,3,0,0
1.2441,20.251,0,0,3.1416,-22.604,3,0,0
1.3684,19.196,0,0,3.1416,-21.96,3,0,0
1.4927,18.141,0,0,3.1416,-21.33,3,0,0
1.617,17.089,0,0,3.1416,-20.716,3,0,0
1.7413,16.045,0,0,3.1416,-20.115,3,0,0
1.8657,15.012,0,0,3.1416,-19.528,3,0,0
1.99,13.993,0,0,3.1416,-18.954,3,0,0
2.1143,12.992,0,0,3.1416,-18.392,3,0,0
2.2386,12.013,0,0,3.1416,-17.843,3,0,0
2.3629,11.06,0,0,3.1416,-17.305,3,0,0
2.4872,10.135,0,0,3.1416,-16.779,3,0,0
2.6115,9.2441,0,0,3.1416,-16.263,3,0,0
2.7358,8.3666,0,0,3.1416,-15.759,3,0,0
2.8601,7.452,0,0,3.1416,-15.263,3,0,0
2.9845,6.5026,0,0,3.1416,-14.777,3,0,0
3.1088,5.5226,0,0,3.1416,-14.3,3,0,0
3.2331,4.5183,0,0,3.1416,-13.831,3,0,0
3.3574,3.4952,0,0,3.1416,-13.37,3,0,0
3.4817,2.4583,0,0,3.1416,-12.916,3,0,0
3.606,1.4137,0,0,3.1416,-12.469,3,0,0
3.7303,0.36656,0,0,3.1416,-12.029,3,0,0
3.8546,-0.67732,0,0,3.1416,-11.594,3,0,0
3.9789,-1.7127,0,0,3.1416,-11.165,3,0,0
4.1032,-2.7337,0,0,3.1416,-10.741,3,0,0
4.2276,-3.7351,0,0,3.1416,-10.321,3,0,0
4.3519,-4.7116,0,0,3.1416,-9.9048,3,0,0
4.4762,-5.6565,0,0,3.1416,-9.4923,3,0,0
4.6005,-6.5658,0,0,3.1416,-9.0827,3,0,0
4.7248,-7.4332,0,0,3.1416,-8.6755,3,0,0
4.8491,-8.2527,0,0,3.1416,-8.2703,3,0,0
4.9734,-9.0213,0,0,3.1416,-7.8666,3,0,0
5.0977,-9.7976,0,0,3.1416,-7.464,3,0,0
5.222,-10.637,0,0,3.1416,-7.0619,3,0,0
5.3464,-11.531,0,0,3.1416,-6.6598,3,0,0
5.4707,-12.471,0,0,3.1416,-6.2572,3,0,0
5.595,-13.452,0,0,3.1416,-5.8527,2.9976,0,-0.02455
5.7193,-14.465,0,0,3.1416,-5.4366,2.9733,0,-0.094047
5.8436,-15.503,0,0,3.1416,-5.0094,2.9172,0,-0.16587
5.9679,-16.558,0,0,3.1416,-4.5753,2.8276,0,-0.23978
6.0922,-17.624,0,0,3.1416,-4.1379,2.7033,0,-0.31558
6.2165,-18.692,0,0,3.1416,-3.7028,2.5422,0,-0.39294
6.3408,-19.755,0,0,3.1416,-3.2737,2.3441,0,-0.47173
6.4651,-20.805,0,0,3.1416,-2.8559,2.1097,0,-0.55161
6.5895,-21.836,0,0,3.1416,-2.4539,1.8392,0,-0.63238
6.7138,-22.839,0,0,3.1416,-2.0722,1.5349,0,-0.71379
6.8381,-23.807,0,0,3.1416,-1.7147,1.1989,0,-0.79558
6.9624,-24.732,0,0,3.1416,-1.3856,0.83392,0,-0.87752
7.0867,-25.607,0,0,3.1416,-1.0872,0.44413,0,-0.95936
7.211,-26.424,0,0,3.1416,-0.82365,0.032525,0,-1.0409
7.3353,-27.176,0,0,3.1416,-0.59481,-0.39546,0,-1.1218
7.4596,-27.856,0,0,3.1416,-0.40449,-0.83644,0,-1.2018
7.5839,-28.457,0,0,3.1416,-0.25059,-1.2846,0,-1.2808
7.7083,-28.97,0,0,3.1416,-0.13536,-1.7362,0,-1.3585
7.8326,-29.389,0,0,3.1416,-0.056106,-2.1856,0,-1.4346
7.9569,-29.703,0,0,3.1416,-0.011669,-2.6293,0,-1.509
8.0812,-29.906,0,0,3.1416,0,-3.0672,0,-1.5708
8.2055,-29.993,0,0,3.1416,0,-3.5526,0,-1.5708
8.3298,-29.994,0,0,3.1416,0,-4.1148,0,-1.5708
8.4541,-29.994,0,0,3.1416,0,-4.759,0,-1.5708
8.5784,-29.994,0,0,3.1416,0,-5.4663,0,-1.5708
8.7027,-29.994,0,0,3.1416,0,-6.2429,0,-1.5708
8.827,-29.994,0,0,3.1416,0,-7.0739,0,-1.5708
8.9514,-29.994,0,0,3.1416,0,-7.9578,0,-1.5708
9.0757,-29.994,0,0,3.1416,0,-8.8882,0,-1.5708
9.2,-29.994,0,0,3.1416,0,-9.857,0,-1.5708
9.3243,-29.994,0,0,3.1416,0,-10.863,0,-1.5708
9.4486,-29.994,0,0,3.1416,0,-11.894,0,-1.5708
9.5729,-29.994,0,0,3.1416,0,-12.951,0,-1.5708
9.6972,-29.994,0,0,3.1416,0,-14.023,0,-1.5708
9.8215,-29.994,0,0,3.1416,0,-15.106,0,-1.5708
9.9458,-29.994,0,0,3.1416,0,-16.194,0,-1.5708
10.07,-29.994,0,0,3.1416,0,-17.281,0,-1.5708
10.194,-29.994,0,0,3.1416,0,-18.361,0,-1.5708
10.319,-29.994,0,0,3.1416,0,-19.429,0,-1.5708
10.443,-29.994,0,0,3.1416,0,-20.477,0,-1.5708
10.567,-29.994,0,0,3.1416,0,-21.502,0,-1.5708
10.692,-29.994,0,0,3.1416,0,-22.496,0,-1.5708
10.816,-29.994,0,0,3.1416,0,-23.454,0,-1.5708
10.94,-29.994,0,0,3.1416,0,-24.371,0,-1.5708
11.065,-29.994,0,0,3.1416,0,-25.238,0,-1.5708
11.189,-29.994,0,0,3.1416,0,-26.056,0,-1.5708
11.313,-29.994,0,0,3.1416,0,-26.807,0,-1.5708
11.438,-29.994,0,0,3.1416,0,-27.498,0,-1.5708
11.562,-29.994,0,0,3.1416,0,-28.115,0,-1.5708
11.686,-29.994,0,0,3.1416,0,-28.655,0,-1.5708
11.81,-29.994,0,0,3.1416,0,-29.115,0,-1.5708
11.935,-29.994,0,0,3.1416,0,-29.48,0,-1.5708
12.059,-29.994,0,0,3.1416,0,-29.76,0,-1.5708
12.183,-29.994,0,0,3.1416,0,-29.927,0,-1.5708
12.308,-29.994,0,0,3.1416,0,-29.996,0,-1.5708
